Column1,Column5,Column9
뚱그렇,Adjective,*
뚱딴지같,Adjective,*
뚱하,Adjective,*
뛰어나,Adjective,*
뜨,Adjective,*
뜨겁,Adjective,*
뜨겁디뜨겁,Adjective,*
뜨근하,Adjective,*
뜨습,Adjective,*
뜨시,Adjective,*
뜨아하,Adjective,*
뜬금없,Adjective,*
뜸하,Adjective,*
뜹뜨름하,Adjective,*
뜻깊,Adjective,*
뜻있,Adjective,*
띵하,Adjective,*
로맨틱하,Adjective,*
리드미컬하,Adjective,*
마,Adjective,*
마디,Adjective,*
마땅스럽,Adjective,*
마땅찮,Adjective,*
마뜩,Adjective,*
마뜩찮,Adjective,*
마렵,Adjective,*
마르,Adjective,*
마지못하,Adjective,*
마침맞,Adjective,*
마흔,Adjective,*
막다르,Adjective,*
막돼먹,Adjective,*
막되,Adjective,*
만,Adjective,*
만,Adjective,*
만나,Adjective,*
만만(하),Adjective,*
만만찮,Adjective,*
만무하,Adjective,*
만여,Adjective,*
만족스럽,Adjective,*
많,Adjective,*
많고많,Adjective,*
많이,Adjective,*
말강스럽,Adjective,*
말갛,Adjective,*
말쌀스럽,Adjective,*
말썽스럽,Adjective,*
맑,Adjective,*
맑디맑,Adjective,*
맛깔지,Adjective,*
맛나,Adjective,*
맛없,Adjective,*
맛있,Adjective,*
망연스럽,Adjective,*
망측스럽,Adjective,*
망칙스럽,Adjective,*
망하,Adjective,*
맞,Adjective,*
매,Adjective,*
매끄럽,Adjective,*
매마르,Adjective,*
매몰스럽,Adjective,*
매몰차,Adjective,*
매섭,Adjective,*
매스껍,Adjective,*
매욱스럽,Adjective,*
매웁,Adjective,*
매정스럽,Adjective,*
맥없,Adjective,*
맨,Adjective,*
맵,Adjective,*
맵디맵,Adjective,*
맵살스럽,Adjective,*
맵싸하,Adjective,*
맵짜,Adjective,*
맵차,Adjective,*
맹랑스럽,Adjective,*
맹숭맹숭하,Adjective,*
맹하,Adjective,*
맻,Adjective,*
머,Adjective,*
머나멀,Adjective,*
머르레하,Adjective,*
머얼,Adjective,*
머얼겋,Adjective,*
머엉하,Adjective,*
머지않,Adjective,*
먹먹하,Adjective,*
먹음직스럽,Adjective,*
먼먼,Adjective,*
멀,Adjective,*
멀겋,Adjective,*
멀고멀,Adjective,*
멀다랗,Adjective,*
멋들어지,Adjective,*
멋없,Adjective,*
멋있,Adjective,*
멋적,Adjective,*
멋지,Adjective,*
멋쩍,Adjective,*
멍청스럽,Adjective,*
멍하,Adjective,*
메떨어지,Adjective,*
메뜨,Adjective,*
메마르,Adjective,*
메숲지,Adjective,*
메스껍,Adjective,*
메지,Adjective,*
멫,Adjective,*
면괴스럽,Adjective,*
면구스럽,Adjective,*
면구쩍,Adjective,*
명랑스럽,Adjective,*
몇,Adjective,*
몇대,Adjective,*
몇몇,Adjective,*
몇십,Adjective,*
몇억만,Adjective,*
몇째,Adjective,*
몇천몇만,Adjective,*
모,Adjective,*
모나,Adjective,*
모두,Adjective,*
모든,Adjective,*
모르,Adjective,*
모멸스럽,Adjective,*
모모,Adjective,*
모모한,Adjective,*
모오든,Adjective,*
모자라,Adjective,*
모자르,Adjective,*
모잘르,Adjective,*
모지,Adjective,*
모지락스럽,Adjective,*
모지락시럽,Adjective,*
모질,Adjective,*
모험스럽,Adjective,*
목마르,Adjective,*
목석같,Adjective,*
몬나,Adjective,*
몬생기,Adjective,*
몰강스럽,Adjective,*
몰골스럽,Adjective,*
몰상스럽,Adjective,*
몰풍경스럽,Adjective,*
몰풍스럽,Adjective,*
몹쓸,Adjective,*
못나,Adjective,*
못되,Adjective,*
못마땅스럽,Adjective,*
못미덥,Adjective,*
못생기,Adjective,*
못잖,Adjective,*
못지않,Adjective,*
못하,Adjective,*
몽글,Adjective,*
몽총하,Adjective,*
묘하,Adjective,*
묘허,Adjective,*
무겁,Adjective,*
무겁디무겁,Adjective,*
무난스럽,Adjective,*
무덥,Adjective,*
무데,Adjective,*
무든,Adjective,*
무디,Adjective,*
무뚝하,Adjective,*
무람없,Adjective,*
무르,Adjective,*
무미스럽,Adjective,*
무섭,Adjective,*
무스은,Adjective,*
무슨,Adjective,*
무슨무슨,Adjective,*
무시,Adjective,*
무신,Adjective,*
무심스럽,Adjective,*
무십,Adjective,*
무안스럽,Adjective,*
무안쩍,Adjective,*
무엄스럽,Adjective,*
무엇하,Adjective,*
무연스럽,Adjective,*
무작스럽,Adjective,*
무정스럽,Adjective,*
무지막스럽,Adjective,*
무지하,Adjective,*
무참스럽,Adjective,*
무추룸하,Adjective,*
무하,Adjective,*
묶,Adjective,*
문,Adjective,*
문제없,Adjective,*
물경,Adjective,*
물렁하,Adjective,*
물르,Adjective,*
물리,Adjective,*
물매지,Adjective,*
물샐틈없,Adjective,*
물설,Adjective,*
물씬하,Adjective,*
물풍스럽,Adjective,*
