Column1,Column5,Column9
엿단쇠,Exclamation,*
영차,Exclamation,*
영차영차,Exclamation,*
영치기,Exclamation,*
영치기 영차,Exclamation,*
예,Exclamation,*
예끼,Exclamation,*
예라,Exclamation,*
예미랄,Exclamation,*
예스,Exclamation,*
예에,Exclamation,*
예에끼,Exclamation,*
예에에,Exclamation,*
예예,Exclamation,*
예예예,Exclamation,*
예이,Exclamation,*
옌장,Exclamation,*
옘병할,Exclamation,*
옛,Exclamation,*
옛다,Exclamation,*
옛소,Exclamation,*
옜네,Exclamation,*
옜다,Exclamation,*
옜소,Exclamation,*
옜습니다,Exclamation,*
오,Exclamation,*
오냐,Exclamation,*
오냐오냐,Exclamation,*
오디,Exclamation,*
오디어,Exclamation,*
오라,Exclamation,*
오라이,Exclamation,*
오라잇,Exclamation,*
오라질,Exclamation,*
오래오래,Exclamation,*
오마,Exclamation,*
오마이갓,Exclamation,*
오매,Exclamation,*
오매오매,Exclamation,*
오메,Exclamation,*
오메야,Exclamation,*
오바,Exclamation,*
오야오야,Exclamation,*
오예,Exclamation,*
오오,Exclamation,*
오오냐,Exclamation,*
오오라,Exclamation,*
오오바,Exclamation,*
오오오옹,Exclamation,*
오오옴,Exclamation,*
오옳아,Exclamation,*
오와,Exclamation,*
오우,Exclamation,*
오이,Exclamation,*
오케,Exclamation,*
오케이,Exclamation,*
오호,Exclamation,*
오호라,Exclamation,*
오호어,Exclamation,*
오호오,Exclamation,*
온,Exclamation,*
올레,Exclamation,*
올커니,Exclamation,*
올호라,Exclamation,*
옳다,Exclamation,*
옳다구나,Exclamation,*
옳소,Exclamation,*
옳아,Exclamation,*
옳지,Exclamation,*
옳치,Exclamation,*
옴마,Exclamation,*
옴매,Exclamation,*
옴브레,Exclamation,*
옵소,Exclamation,*
옹야,Exclamation,*
옹헤야,Exclamation,*
와,Exclamation,*
와따,Exclamation,*
와따매,Exclamation,*
와아,Exclamation,*
와아아,Exclamation,*
와예,Exclamation,*
와우,Exclamation,*
와이고,Exclamation,*
와하,Exclamation,*
와하하하,Exclamation,*
왓하하,Exclamation,*
왓하하하,Exclamation,*
왕,Exclamation,*
왜,Exclamation,*
왜에,Exclamation,*
왝,Exclamation,*
외이고,Exclamation,*
요,Exclamation,*
요런,Exclamation,*
욧시,Exclamation,*
용용,Exclamation,*
우,Exclamation,*
우겨,Exclamation,*
우라질,Exclamation,*
우아,Exclamation,*
우아아아,Exclamation,*
우야꼬,Exclamation,*
우야노,Exclamation,*
우야훨훨,Exclamation,*
우어,Exclamation,*
우여,Exclamation,*
우예,Exclamation,*
우와,Exclamation,*
우와앙,Exclamation,*
우우,Exclamation,*
우우아아아아아아,Exclamation,*
우우아아아아아아아아아,Exclamation,*
우우우우,Exclamation,*
우우우우아아아아,Exclamation,*
우우우우아아아아아아아,Exclamation,*
우우우우우아아아아아,Exclamation,*
우욱,Exclamation,*
우웨엑,Exclamation,*
우윽,Exclamation,*
우이,Exclamation,*
우이씨,Exclamation,*
우째,Exclamation,*
우하,Exclamation,*
우하하하,Exclamation,*
우해해해,Exclamation,*
우헤우헤우헤헤,Exclamation,*
우헤헤헤,Exclamation,*
우화,Exclamation,*
우후,Exclamation,*
우후후,Exclamation,*
우후후후,Exclamation,*
우히히히,Exclamation,*
욱,Exclamation,*
욱욱,Exclamation,*
움,Exclamation,*
움쓰,Exclamation,*
움하하하,Exclamation,*
웁웁,Exclamation,*
웅,Exclamation,*
워,Exclamation,*
워디,Exclamation,*
워디워디워디,Exclamation,*
워라,Exclamation,*
워리,Exclamation,*
워매,Exclamation,*
워메,Exclamation,*
워어리,Exclamation,*
워어이,Exclamation,*
워워,Exclamation,*
워워워,Exclamation,*
원,Exclamation,*
웬,Exclamation,*
웬걸,Exclamation,*
웬걸요,Exclamation,*
위,Exclamation,*
위여차,Exclamation,*
위이,Exclamation,*
유,Exclamation,*
육시랄,Exclamation,*
육시랄놈들,Exclamation,*
으,Exclamation,*
으라차차차,Exclamation,*
